EAN;Artikelnummer;Bezeichnung;Netto
9783803236166;3616;CD Sternenschweif 17 Magische Versammlung;4.47
9783803236173;3617;CD Sternenschweif 18 Sommerzauber;4.47
9783803236180;3618;CD Sternenschweif 19 Zauberhafte Freundschaft;4.47
9783803236197;3619;CD Sternenschweif 20 Geheimnisvolles Einhorn;4.47
9783803236203;3620;CD Sternenschweif 21 Magische Kräfte;4.47
9783803236210;3621;CD Sternenschweif 22 Im Land der Einhörner;4.47
9783803236227;3622;CD Sternenschweif 23 Liebeszauber;4.47
9783803236234;3623;CD Sternenschweif 24 Geheimnis der Nacht;4.47
9783803236241;3624;CD Sternenschweif 25 Freundschaftszauber;4.47
9783803236258;3625;CD Sternenschweif 26 Im Zeichen des Lichts;4.47
9783803236265;3626;CD Sternenschweif 27 Die Zauberquelle;4.47
9783803236272;3627;CD Sternenschweif 28 Schatz der Sterne;4.47
9783803236289;3628;CD Sternenschweif 29 Die goldene Muschel;4.47
9783803236296;3629;CD Sternenschweif 30 Funkenzauber;4.47
9783803236302;3630;CD Sternenschweif 31 Magie der Sterne;4.47
9783803236319;3631;CD Sternenschweif 32 Lauras Rettung;4.47
9783803236326;3632;CD Sternenschweif 33 Geheimnisvolles Glitzern;4.47
9783803236333;3633;CD Sternenschweif 34 Himmelsfreunde;4.47
9783803236340;3634;CD Sternenschweif 35 Der silberne Stern;4.47
9783803236357;3635;CD Sternenschweif 36 Das magische Tuch;4.47
9783803236364;3636;CD Sternenschweif 37 Zirkus der Träume;4.47
9783803236371;3637;CD Sternenschweif 38 Freunde für immer;4.47
9783803236388;3638;CD Sternenschweif 39 Funkelnder Wasserzauber;4.47
9783803236395;3639;CD Sternenschweif 40 Ein Fohlen für Laura;4.47
9783803236401;3640;CD Sternenschweif 41 Verzauberte Herzen;4.47
9783803236418;3641;CD Sternenschweif 42 Ein neuer Freund;4.47
9783803236425;3642;CD Sternenschweif 43 Der Sternengeburtstag;4.47
9783803236432;3643;CD Sternenschweif 44 Zauber der Mondblumen;4.47
9783803236449;3644;CD Sternenschweif 45 Die Spur der Sterne;4.47
9783803236456;3645;CD Sternenschweif 46 Das magische Wasser;4.47
9783803236463;3646;CD Sternenschweif 47 Traum der Sterne;4.47
9783803236470;3647;CD Sternenschweif 48 Geheimnis der Mondsteine;4.47
9783803236487;3648;CD Sternenschweif 49 Insel der Träume;4.47
9783803236494;3649;CD Sternenschweif 50 Eine Freundin für Waldfee;4.47
9783803236906;3690;CD-Box Sternenschweif Folgen 1 - 3;9.51
9783803236913;3691;CD-Box Sternenschweif Folgen 4 - 6;9.51
9783803236920;3692;CD-Box Sternenschweif Folgen 7 - 9;9.51
9783803236937;3693;CD-Box Sternenschweif Folgen 10 - 12;9.51
9783803236944;3694;CD-Box Sternenschweif Folgen 13 - 15;9.51
9783803236951;3695;CD-Box Sternenschweif Folgen 16 - 18;9.51
9783803236968;3696;CD-Box Sternenschweif Folgen 19 - 21;9.51
9783803236975;3697;CD-Box Sternenschweif Folgen 22 - 24;9.51
9783803236982;3698;CD-Box Sternenschweif Folgen 25 - 27;9.51
9783803236999;3699;CD-Box Sternenschweif Folgen 28 - 30;9.51
888430103924;3784;CD !!! 35 Diebe in der Lagune;4.88
888430104020;3785;CD !!! 36 SOS per GPS;4.88
888430104129;3786;CD !!! 37 Mission Pferdeshow;4.88
888430104228;3787;CD !!! 38 Stylist in Gefahr;4.88
888430104327;3788;CD !!! 39 Verliebte Weihnachten;4.88
888430104426;3789;CD !!! 40 Achtung, Spionage!;4.88
888751319028;3790;CD !!! 41 Im Bann des Flamenco;4.88
888751319127;3791;CD !!! 42 Geheimnis der alten Villa;4.88
888751319226;3792;CD !!! 43 Nixensommer;4.88
888751319424;3793;CD !!! 44 Skandal im Café Lomo!;4.88
888751319325;3794;CD !!! 45 Tatort Geisterhaus;4.88
888751319523;3795;CD !!! 46 Filmstar in Gefahr;4.88
889853587124;3796;CD !!! 47 Unter Verdacht;4.88
889853587223;3797;CD !!! 48 Die Maske der Königin;4.88
889853587322;3798;CD !!! 49 Skandal auf dem Laufsteg;4.88
889853587421;3799;CD !!! 50 Freundinnen in Gefahr (3 CDs);9.04
888430990524;3816;CD-Box !!! Folgen 13 - 15;9.04
888750856821;3817;CD-Box !!! Folgen 16 - 18;9.04
888750856920;3818;CD-Box !!! Folgen 19 - 21;9.04
888750857026;3819;CD-Box !!! Folgen 22 - 24;9.04
888430990722;3857;CD !!! Adventskalender Eisprinzessin in Not;6.71
888751074620;3858;CD !!! Adventskalender Geheimnis im Schnee;6.71
889853603428;3859;CD !!! Adventskalender Weihnachtsmann gesucht;6.71
888751318328;6033;CD ??? Kids 51 Tatort Kletterpark;4.88
888751318427;6034;CD ??? Kids 52 Mächtige Magier;4.88
888751318526;6035;CD ??? Kids 53 Geheimnis der Tiere;4.88
888751318625;6036;CD ??? Kids 54 Zombie-Alarm;4.88
888751318724;6037;CD ??? Kids 55 Der schwarze Joker;4.88
889853585823;6038;CD ??? Kids 56 Das Rätsel der Könige;4.88
889853585922;6039;CD ??? Kids 57 Der Weihnachtsdieb;4.88
889853586028;6040;CD ??? Kids 58 Spur des Drachen;4.88
889853586127;6041;CD ??? Kids 59 Fußballhelden;4.88
889853586226;6042;CD ??? Kids 60 Gespensterjagd;4.88
889853586325;6043;CD ??? Kids 61 Alarm im Dino-Park;4.88
889854672126;6044;CD ??? Kids 62 Gefahr im Dschungel;4.88
889854672324;6045;CD ??? Kids 63 Monster-Wolken;4.88
889854672423;6046;CD ??? Kids 64 In der Schatzhöhle;4.88
889854672522;6047;CD ??? Kids 65 Mission Goldhund;4.88
889854672621;6048;CD ??? Kids 66 Geheimnis im Meer;4.88
889854672720;6049;CD ??? Kids 67 Der goldene Drache;4.88
190758783529;6051;CD ??? Kids 68 Chaos im Dunkeln;4.88
190758783628;6052;CD ??? Kids 69 Die Rätsel-Falle;4.88
190758783727;6053;CD ??? Kids 70 Aufbruch ins All;4.88
190758783826;6054;CD ??? Kids 71 Tatort Trampolin;4.88
190758784021;6055;CD ??? Kids 72 Die Laser-Falle;4.88
190758784120;6056;CD ??? Kids 73 Surfstrand in Gefahr;4.88
190758781723;6090;CD-Box ??? Kids Folgen 43 - 45;9.04
190759011928;6091;CD-Box ??? Kids Folgen 46 - 48;9.04
889853587520;6151;CD !!! 51 Krimi-Dinner;4.88
889853587629;6152;CD !!! 52 Das rote Phantom;4.88
889854681524;6153;CD !!! 53 Hochzeitsfieber!;4.88
889854681623;6154;CD !!! 54 Klappe und Action!;4.88
889854681722;6155;CD !!! 55 Wildpferd in Gefahr;4.88
889854681821;6156;CD !!! 56 Geheimnis im Düstermoor;4.88
889854681920;6157;CD !!! 57 Tatort Kreuzfahrt;4.88
889854682026;6158;CD !!! 58 Gorilla in Not;4.88
190758782928;6159;CD !!! 59 Das geheime Parfum;4.88
190758783024;6161;CD !!! 60 Liebes-Chaos;4.88
190758783123;6162;CD !!! 61 Der Fall Dornröschen;4.88
190758783222;6163;CD !!! 62 Spuk am Himmel;4.88
190758783321;6164;CD !!! 63 Flammen in der Nacht;4.88
190758783420;6165;CD !!! 64 Der Graffiti-Code;4.88
889854187927;6190;CD !!! Adventskalender Das Weihnachtsrätsel;6.71
889853121328;6201;CD-Box !!! Folgen 25 - 27;9.04
889853114023;6202;CD-Box !!! Folgen 28 - 30;9.04
889854156121;6203;CD-Box !!! Folgen 31 - 33;9.04
889854681326;6204;CD-Box !!! Folgen 34 - 36;9.04
889854681425;6205;CD-Box !!! Folgen 37 - 39;9.04
190758600222;6206;CD-Box !!! Folgen 40 - 42;9.04
190758781624;6207;CD-Box !!! Folgen 43 - 45;9.04
190759012123;6208;CD-Box !!! Folgen 46 - 48;9.04
190758040721;6300;CD TKKG Junior 1 Auf frischer Tat ertappt;4.88
190758363622;6301;CD TKKG Junior 2 Vorsicht: Bissig!;4.88
190758496221;6302;CD TKKG Junior 3 Giftige Schokolade;4.88
190758496320;6303;CD TKKG Junior 4 Der rote Retter;4.88
886975416844;40001;CD-Box ??? Kids Folgen 1 - 3;9.04
886978162328;40002;CD-Box ??? Kids Folgen 4 - 6;9.04
886979186729;40003;CD-Box ??? Kids Folgen 7 - 9;9.04
887254724421;40004;CD-Box ??? Kids Folgen 10 - 12;9.04
888837616423;40005;CD-Box ??? Kids Folgen 13 - 15;9.04
886974400127;40012;CD ??? Kids 1 Panik im Paradies;4.88
886974400226;40022;CD ??? Kids 2 Radio Rocky Beach;4.88
886974400325;40032;CD ??? Kids 3 Invasion der Fliegen;4.88
886974400424;40042;CD ??? Kids 4 Chaos vor der Kamera;4.88
886974400523;40052;CD ??? Kids 5 Flucht in die Zukunft;4.88
886974400622;40062;CD ??? Kids 6 Gefahr im Gruselgarten;4.88
886974400721;40072;CD ??? Kids 7 Gruft der Piraten;4.88
886974400820;40082;CD ??? Kids 8 Nacht unter Wölfen;4.88
886974400929;40092;CD ??? Kids 9 SOS über den Wolken;4.88
886974401025;40102;CD ??? Kids 10 Spuk in Rocky Beach;4.88
886975541126;41126;CD ??? Kids 11 Fluch des Goldes;4.88
886975541225;41225;CD ??? Kids 12 Internetpiraten;4.88
886975541324;41324;CD ??? Kids 13 Im Reich der Rätsel;4.88
886975541423;41423;CD ??? Kids 14 Gefahr aus dem All;4.88
886975541522;41522;CD ??? Kids 15 In der Geisterstadt;4.88
4031477415338;41533;??? Kids Trinkflasche;5
4031477415352;41535;??? Kids Stiftemäppchen;5
886975541621;41621;CD ??? Kids 16 Der magische Brunnen;4.88
886975541720;41720;CD ??? Kids 17 Rettet Atlantis!;4.88
886975541829;41829;CD ??? Kids 18 Mission Maulwurf;4.88
886975541928;41928;CD ??? Kids 19 Spur in die Wildnis;4.88
888837722827;42002;CD !!! Adventskalender Engel in Gefahr;6.71
886975542024;42024;CD ??? Kids 20 Die Schmugglerinsel;4.88
886978003126;42121;CD ??? Kids 21 Die Geisterjäger;4.88
886978003225;42229;CD ??? Kids 22 Einarmige Banditen;4.88
886978003324;42328;CD ??? Kids 23 Feuer in Rocky Beach;4.88
886978003423;42427;CD ??? Kids 24 Im Bann des Zauberers;4.88
886978003522;42526;CD ??? Kids 25 In letzter Sekunde;4.88
886978003621;42624;CD ??? Kids 26 Fußball-Alarm;4.88
886978003720;42723;CD ??? Kids 27 Die Schokofalle;4.88
886978003829;42822;CD ??? Kids 28 Diamantenjagd;4.88
886978003928;42921;CD ??? Kids 29 Monsterpilze;4.88
886978004024;43020;CD ??? Kids 30 Im Geisterschiff;4.88
886978162229;50800;CD-Box !!! Folgen 1 - 3;9.04
886979187221;50801;CD-Box !!! Folgen 4 - 6;9.04
887254724322;50802;CD-Box !!! Folgen 7 - 9;9.04
888837616522;50803;CD-Box !!! Folgen 10 - 12;9.04
886975081127;50811;CD !!! 1 Die Handy-Falle;4.88
886975081226;50812;CD !!! 2 Betrug beim Casting;4.88
886975081325;50813;CD !!! 3 Gefährlicher Chat;4.88
886975081424;50814;CD !!! 4 Gefahr im Fitness-Studio;4.88
886975081523;50815;CD !!! 5 Tatort Paris;4.88
886975081622;50816;CD !!! 6 Skandal auf Sendung;4.88
886975081721;50817;CD !!! 7 Skaterfieber;4.88
886975081820;50818;CD !!! 8 Vorsicht Strandhaie;4.88
886975081929;50819;CD !!! 9 Im Bann des Tarots;4.88
886975082025;50820;CD !!! 10 Tanz der Hexen;4.88
886977831126;50821;CD !!! 11 Kuss-Alarm!;4.88
886977831225;50822;CD !!! 12 Popstar in Not;4.88
886977831324;50823;CD !!! 13 Gefahr im Reitstall;4.88
886977831522;50824;CD !!! 14 Spuk am See;4.88
886977831621;50825;CD !!! 15 Duell der Topmodels;4.88
886977831720;50826;CD !!! 16 Total verknallt;4.88
886977831829;50827;CD !!! 17 Gefährliche Fracht;4.88
886977831928;50828;CD !!! 18 V.I.P.-Alarm;4.88
886977832024;50829;CD !!! 19 Teuflisches Handy;4.88
886977832123;50830;CD !!! 20 Beutejagd am Geistersee;4.88
886979868120;50831;CD !!! 21 Skandal auf der Rennbahn;4.88
886979869226;50832;CD !!! 22 Jagd im Untergrund;4.88
886979868328;50833;CD !!! 23 Undercover im Netz;4.88
886979868427;50834;CD !!! 24 Fußballstar in Gefahr;4.88
886979868526;50835;CD !!! 25 Herzklopfen!;4.88
886979868625;50836;CD !!! 26 Tatort Filmset;4.88
886979868724;50837;CD !!! 27 Vampire in der Nacht;4.88
886979868823;50838;CD !!! 28 Achtung, Promihochzeit!;4.88
886979868922;50839;CD !!! 29 Panik im Freizeitpark;4.88
886979869028;50840;CD !!! 30 Falsches Spiel im Internat;4.88
888430103528;50841;CD !!! 31 Betrug in den Charts;4.88
888430103627;50842;CD !!! 32 Party des Grauens;4.88
888430103726;50843;CD !!! 33 Küsse im Schnee;4.88
888430103825;50844;CD !!! 34 Brandgefährlich!;4.88
886919955125;51000;CD ??? Kids 31 Rückkehr der Saurier;4.88
886919955224;51001;CD ??? Kids 32 Die Gruselfalle;4.88
886919955323;51002;CD ??? Kids 33 Nacht im Kerker;4.88
886919955422;51003;CD ??? Kids 34 Falsches Gold;4.88
886919955521;51004;CD ??? Kids 35 Im Wilden Westen;4.88
886919956023;51005;CD ??? Kids 36 Mission Mars;4.88
886919955620;51006;CD ??? Kids 37 Der Fluch der Indianer;4.88
886919955729;51007;CD ??? Kids 38 Stunde der Wahrheit;4.88
886919955828;51008;CD ??? Kids 39 Der verrückte Erfinder;4.88
886919955927;51009;CD ??? Kids 40 Brennendes Eis;4.88
888837845526;51010;CD ??? Kids 41 Insel der Haie;4.88
888430092129;51011;CD ??? Kids 42 Fußballgötter;4.88
9783440156773;156773;??? Notizbuch;12.61
9783440158678;158678;Mein KOSMOS Karten Set;10.92
4002051601409;601409;Fun Labs (25 Ex. im Display);2.1
4002051601508;601508;Dino-Eier (24 Ex. im Display);1.05
4002051601591;601591;Krabbel-Alarm (24 Ex. im Display);1.05
4002051601607;601607;Mineralien & Fossilien (24 Ex. im Display);1.05
4002051601652;601652;Nachtleuchtende Dinos (24 Ex. im Display);1.05
4002051601706;601706;Magic Zauberstab (16 Ex. im Display);1.57
4002051601805;601805;Wunderwelt der Mineralien (24 Ex. im Display);2.1
4002051601850;601850;??? Geheim-Tresor (kleine Metalldose);2.94
4002051601911;601911;Lieblings-Pferde (24 Ex. im Display);1.05
4002051602079;602079;Mein erster Experimentierkasten: Naturgesetze;10.76
4002051602239;602239;Mein erster Experimentierkasten: Technik;10.52
4002051602406;602406;Magnet-Spaß;5.12
4002051602413;602413;Seifenblasen ;5.12
4002051602420;602420;Flugzeug, Rakete & Co.;5.12
4002051602437;602437;Deine 5 Sinne;5.12
4002051602444;602444;Licht & Schatten;5.12
4002051602451;602451;Tauchen & Schwimmen;5.12
4002051602468;602468;Regenbogen ;5.12
4002051604028;604028;Garten-Piraten;5.26
4002051604066;604066;Gips-Skulptur;5.26
4002051604080;604080;Monster nähen;10.52
4002051604127;604127;Ufos basteln;5.26
4002051604158;604158;Armbänder knüpfen;5.26
4002051604172;604172;Filzwerkstatt;10.52
4002051604202;604202;Blühendes Papier ;5.26
4002051604233;604233;Glücks-Boten;10.52
4002051604257;604257;Schnitzen Komplett-Set;15.78
4002051604264;604264;Buttons & Anhänger;10.52
4002051604271;604271;Kork Sachen-Sammler;10.52
4002051604288;604288;Lichterkette;10.52
4002051604301;604301;Papier-Design ;10.52
4002051604325;604325;Knoten Abenteuer-Box;8.94
4002051604332;604332;Rucksack im Batik-Look;10.52
4002051604356;604356;Schnitzen nach Farben  ;10.52
4002051604363;604363;Pferde Kreativ-Box;8.94
4002051604370;604370;Basteln Adventskalender 2019;17.64
4002051606022;606022;Mein erstes Forscher-Set;17.64
4002051606077;606077;Pepper Mint und das Mars-Abenteuer;14.7
4002051606084;606084;Pepper Mint und das Abenteuer auf der Geheimen Insel;17.64
4002051606091;606091;Pepper Mint und der Propeller-Racer;5.12
4002051606107;606107;Mein erstes Auto;23.52
4002051606220;606220;Mein erstes Entdeckerset;8.33
4002051615918;615918;Electronic Master;76.46
4002051620028;620028;Roboter-Arm;41.17
4002051620035;620035;Nexo - Dein Kletter-Roboter;20.58
4002051620042;620042;Kodi - Dein mechanischer Coding-Roboter;26.46
4002051620066;620066;Nuna - Dein Igel-Roboter;26.46
4002051620158;620158;Ultraleicht-Gleiter;9.99
4002051620370;620370;Roboter-Control;58.82
4002051620400;620400;Roboter-Master;88.23
4002051620417;620417;Elektro & Co.;25.29
4002051620455;620455;Balance Bots;17.64
4002051620479;620479;Hydraulik-Arm;35.29
4002051620486;620486;Monster Maker ;76.46
4002051620523;620523;Easy Elektro - Coding;47.05
4002051620530;620530;Easy Elektro - Light;17.64
4002051620547;620547;Easy Elektro - Start;35.29
4002051620554;620554;Easy Elektro - Big Fun;47.05
4002051620813;620813;Elektro Profi ;82.35
4002051621001;621001;Chipz - Dein intelligenter Roboter;29.41
4002051626020;626020;Pepper Mint und das Baumhaus-Abenteuer;23.52
4002051626037;626037;Pepper Mint und das Tiefsee-Abenteuer;23.52
4002051627928;627928;Wind-Energie;23.52
4002051628154;628154;Der große Technik-Workshop;52.94
4002051628161;628161;Giganten der Baustelle;58.82
4002051628185;628185;Katapult & Armbrust;14.7
4002051628192;628192;Solar Fußballstadion;17.64
4002051628208;628208;Technik-Werkstatt;32.35
4002051630201;630201;??? Tür-Alarm;7.22
4002051630409;630409;Tyrannosaurus Rex Nachtleuchtend;5.12
4002051630447;630447;Mineralien;5.12
4002051630461;630461;Fossilien;5.12
4002051630485;630485;Flugsaurier Nachtleuchtend;5.12
4002051630492;630492;T-Rex Zahn;5.12
4002051630508;630508;??? Spionage-Spiegel;7.22
4002051630522;630522;??? Geheime Botschaften (kleine Metalldose);2.94
4002051630539;630539;TKKG Junior Adventskalender;11.76
4002051630928;630928;??? Detektiv-Gürtel;14.7
4002051630959;630959;??? Geheime Geldtruhe;11.11
4002051631024;631024;??? Geheimschrift (kleine Metalldose);2.94
4002051631031;631031;??? Fingerabdrücke (kleine Metalldose);2.94
4002051631048;631048;??? Geheimcode (kleine Metalldose);2.94
4002051631161;631161;??? Detektiv-Lampe (große Metalldose);6.11
4002051631178;631178;??? Tatort-Mikroskop;9.44
4002051631192;631192;??? Voice-Alarm;10.55
4002051631222;631222;??? Hörspion (große Metalldose);6.11
4002051631239;631239;??? Metall-Sucher (große Metalldose);6.11
4002051631246;631246;??? UV-Lichtcode (große Metalldose);6.11
4002051631253;631253;??? Phantomstimme;5.58
4002051631260;631260;??? Multi-Spion (große Metalldose);6.11
4002051631277;631277;??? Phantombilder (kleine Metalldose);2.94
4002051631345;631345;??? Nachtsichtgerät;41.17
4002051631352;631352;??? Agenten-Brille;11.11
4002051631383;631383;??? Kryptex;7.22
4002051631390;631390;??? Leuchthand;8.33
4002051631543;631543;??? Digitaler Tresor;15.71
4002051631611;631611;Fleischfressende Pflanzen;13.08
4002051631666;631666;??? Spionagebrille;5.26
4002051631697;631697;??? Detektiv-Büro;5.26
4002051631765;631765;??? Detektiv-Geldbeutel;8.33
4002051631789;631789;??? Tatort-Ausrüstung;7.22
4002051631925;631925;??? Tatort im UV-Licht (große Metalldose);6.11
4002051631949;631949;??? Detektiv-Koffer;23.52
4002051631956;631956;??? Sicherheitssystem;17.64
4002051631963;631963;??? Detektiv-Uhr;9.99
4002051632069;632069;Kräutergarten;9.99
4002051632106;632106;Mega Flugsaurier;17.64
4002051632120;632120;XXL-Skelett T-Rex;17.64
4002051633042;633042;Mein erstes Insektenhotel;7.89
4002051633059;633059;Geheimnisvolle Mineralien;7.89
4002051633073;633073;Triops Welt ;14.7
4002051633080;633080;Triops Giganten ;17.64
4002051633097;633097;Triops züchten ;9.44
4002051633264;633264;Salzkrebse;14.7
4002051633912;633912;Schülerlabor Grundschule 3. + 4. Klasse ;21.82
4002051634001;634001;Magische Elfentür;8.33
4002051634025;634025;Selbstbau-Mikroskop;10.55
4002051634032;634032;Mein erstes Mikroskop;23.52
4002051634049;634049;??? Tatort-Ausgrabung ;7.22
4002051634056;634056;??? Alarmanlage;7.22
4002051634070;634070;Die drei !!! Adventskalender 2019;11.76
4002051634162;634162;Die drei ??? Adventskalender 2019;11.76
4002051634315;634315;Schülerlabor Grundschule 1. + 2. Klasse;21.82
4002051634407;634407;3D-Makroskop;58.82
4002051634919;634919;Mein erstes Gewächshaus;10.76
4002051635213;635213;Mikroskop für Natur-Entdecker;15.71
4002051635602;635602;Mikroskop;44.11
4002051636029;636029;Das große Forscher-Mikroskop;76.46
4002051640125;640125;Chemielabor C 2000;47.05
4002051640132;640132;Chemielabor C 3000;97.05
4002051642129;642129;Prof. Tsokos' Spurenanalyse;41.17
4002051642136;642136;Chemielabor C 500 ;11.11
4002051642518;642518;Chemielabor C 1000 ;23.52
4002051642525;642525;Mein erstes Chemielabor ;14.7
4002051642532;642532;Big Fun Chemistry ;23.52
4002051643522;643522;Kristalle züchten;10.45
4002051644895;644895;Chemisches Leuchten;12.7
4002051644901;644901;Leuchtende Höhlenkristalle;9.99
4002051645120;645120;Kristall-Gigant;13.52
4002051651008;651008;Coole Knetmonster;5.12
4002051651077;651077;Dino-Ei T-Rex;5.12
4002051651091;651091;Feen-Schatz;5.12
4002051654108;654108;Fun Science Nachtleuchtende Flummi-Power;8.88
4002051654122;654122;Fun Science Seifenblasen-Roboter;8.88
4002051654146;654146;Fun Science Magie der Magnete;8.88
4002051654153;654153;Fun Science Geheimnisvolle Kristallwelt;8.88
4002051654160;654160;Fun Science Wuselnde Salzkrebse;8.88
4002051654177;654177;Fun Science Schleim-Galaxie;8.88
4002051654504;654504;TKKG Junior Abhör-Gerät;7.22
4002051654511;654511;TKKG Junior Alarmanlage;7.22
4002051654528;654528;TKKG Junior Detektiv-Tool;7.22
4002051654535;654535;TKKG Junior UV-Geheimstift;7.22
4002051656034;656034;Blaue Kristalle selbst züchten;2.1
4002051656041;656041;Grüne Kristalle selbst züchten;2.1
4002051656089;656089;Überraschungskristall selbst züchten;2.1
4002051657031;657031;Mimosen-Garten;5.12
4002051657130;657130;Experimente für die Badewanne;5.12
4002051657185;657185;Perlen-Weben;5.12
4002051657338;657338;Space Bubbles;5.12
4002051657369;657369;Grusel-Monster;5.12
4002051657413;657413;Magic Zauber-Tricks;5.12
4002051657420;657420;Magische Perlentiere;5.12
4002051657451;657451;Kaleidoskop;5.12
4002051657468;657468;Verrückte Moleküle;5.12
4002051657475;657475;Limo-Uhr;5.12
4002051657482;657482;Blitz-Kristalle;5.12
4002051657505;657505;Magic Zauber-Truhe;5.12
4002051657512;657512;Super-Sinne ;5.12
4002051657536;657536;Piraten-Schatz;5.12
4002051657543;657543;Bubble Pen;5.12
4002051657550;657550;T-Rex 3D;5.12
4002051657567;657567;Geheim-Codes;5.12
4002051657574;657574;Geheim-Schrift;5.12
4002051657581;657581;Leucht-Labor ;5.12
4002051657598;657598;Propeller;5.12
4002051657604;657604;Air-Brush;5.12
4002051657659;657659;Kristall-Einhörner;5.12
4002051657703;657703;Kresse-Schaf;5.12
4002051657710;657710;Flummi-Planeten;5.12
4002051657727;657727;Magic Zauberlichter;5.12
4002051657734;657734;Ritter-Schatz;5.12
4002051658410;658410;Finger-Abdrücke;5.12
4002051659028;659028;Kristall-Zucht;5.12
4002051659066;659066;Papier-Schöpfen;5.12
4002051659103;659103;Fangarm-Roboter;5.12
4002051659127;659127;Nachtleuchtender Kristall;5.12
